event_date,event,fight_id,fighter,rule,rd_self,rd_opp,placed,stake_u,pnl_placed,open_line,placeable_line,clean_close,clv_pts,result,method,round,pnl
2025-03-29,UFC Fight Night: Moreno vs. Erceg,8fc8d66ad0074ab0,Manuel Torres,FLIP,180.78,91.49,1,0.64,0.5818,-110,,-125,4.14,WIN,KO/TKO,1,0.9091
2025-04-12,UFC 314: Volkanovski vs. Lopes,d05cb4c4135ce402,Paddy Pimblett,FLIP,152.44,150.38,1,0.84,0.9576,114,,-160,14.16,WIN,KO/TKO,3,1.14
2025-05-31,UFC Fight Night: Blanchfield vs. Barber,2521fed000747f47,Jordan Leavitt,GAP,156.43,152.88,1,0.81,0.4909,-165,,-249,9.14,WIN,SUB,1,0.6061
2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,f0488a4486a64af0,Khaos Williams,GAP,137.51,350.0,1,0.95,-0.95,-188,,-192,0.82,LOSS,U-DEC,3,-1.0
2025-06-07,UFC 316: Dvalishvili vs. O'Malley 2,df5dac45fc585fb0,Mario Bautista,FLIP,127.09,350.0,1,1.0,1.63,163,,153,1.67,WIN,U-DEC,3,1.63
2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,5fcf18bcd2a020f1,Ismail Naurdiev,FLIP,169.88,125.48,1,0.72,-0.72,163,,152,2.53,LOSS,U-DEC,3,-1.0
2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,36ec204f47e4d613,Myktybek Orolbai,GAP,205.25,350.0,0,0.0,0.0,-150,,-172,3.13,WIN,SUB,1,0.6667
2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,8e5744c664fec3e9,Curtis Blaydes,GAP,97.73,350.0,1,1.0,0.4,-250,,-252,2.25,WIN,S-DEC,3,0.4
2025-06-21,UFC Fight Night: Hill vs. Rountree Jr.,a1afc16e21d1a807,Ignacio Bahamondes,FLIP,138.96,119.48,1,0.94,-0.94,110,,-141,10.21,LOSS,U-DEC,3,-1.0
2025-07-12,UFC Fight Night: Lewis vs. Teixeira,f368475c366c6d85,Steve Garcia,GAP,144.32,105.75,1,0.9,0.6,-150,,-144,0.29,WIN,U-DEC,3,0.6667
2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,0a598768f5c8d540,Martin Buday,FLIP,159.09,350.0,1,0.79,1.817,230,,212,2.07,WIN,U-DEC,3,2.3
2025-07-26,UFC Fight Night: Whittaker vs. De Ridder,6b8be0ee3e569ad2,Reinier de Ridder,FLIP,196.94,89.86,1,0.52,0.7904,152,,125,4.83,WIN,S-DEC,5,1.52
2025-08-09,UFC Fight Night: Dolidze vs. Hernandez,3d6571790c21527c,Julius Walker,GAP,272.88,237.19,0,0.0,0.0,-649,,-720,2.75,WIN,U-DEC,3,0.1541
2025-08-09,UFC Fight Night: Dolidze vs. Hernandez,646c79a7ecd12e5f,Iasmin Lucindo,GAP,150.91,87.55,1,0.85,0.4857,-175,,-184,2.51,WIN,U-DEC,3,0.5714
2025-08-16,UFC 319: Du Plessis vs. Chimaev,9fa6a029f7f8241c,Lerone Murphy,FLIP,128.46,350.0,1,1.0,1.05,105,,128,-4.9,WIN,KO/TKO,1,1.05
2025-09-06,UFC Fight Night: Imavov vs. Borralho,5cd2dd6075fadcce,Kaue Fernandes,GAP,199.31,350.0,0,0.0,0.0,-160,,-224,7.06,WIN,KO/TKO,1,0.625
2025-09-06,UFC Fight Night: Imavov vs. Borralho,23dbe713c4294c66,Marcin Tybura,GAP,91.55,350.0,1,1.0,-1.0,-138,,-118,-2.69,LOSS,KO/TKO,1,-1.0
