fight_id,rd_a,rd_b
8452f6d5a1450cfb,253.64,350.00
d84f88ac792e8c53,283.94,350.00
a0dfc397caef4afe,306.00,350.00
f0b2020d11a0cf94,194.20,350.00
60e5b2c1bdaa203e,350.00,284.10
cef1b43c77e02635,223.85,193.93
c078544a32e18ba3,290.42,350.00
075dee476361e83e,350.00,237.10
ae54f944d1ba378f,256.44,295.34
8a9a37d68cc428d6,350.00,350.00
0bec32c32da199ed,254.78,219.81
3ef7c2b26af8cf22,200.06,230.97
c5bec85a32462995,186.57,350.00
794ec0a93eca0492,177.13,124.16
4aef975838bc19ec,350.00,350.00
b85ce7371fb18305,350.00,350.00
be8e34d585be9dc7,229.38,290.53
91cef206019c119e,350.00,350.00
e4df2b73dff57d3a,350.00,350.00
40d31c37e00d6d0b,350.00,180.43
10cca6f437922b6c,195.16,197.06
9ea4087371f7a892,233.79,275.44
3c49bf20e4442a81,350.00,249.77
019eca4a900ed793,256.74,290.46
5a4f6ff454b1eeb8,239.65,244.70
c39728802a8409ee,350.00,242.47
53a736ebc356cc4a,184.68,246.54
2783ccf179321171,167.98,290.36
bfb468c3427faa50,350.00,290.50
a949b05c64e43131,350.00,350.00
651da45cc83ce011,306.39,350.00
75a401066ad784f6,160.42,290.37
4a1f37200bc69376,350.00,182.26
74d0da1f9df17b9e,219.72,350.00
a38ec65ac140fcf8,206.60,350.00
f8820294bbe01486,159.28,226.67
49693a06fc1d8906,350.00,350.00
97a4b37cee48ea0b,350.00,350.00
ef99fb08c6b06963,277.95,350.00
7a018ddd9239e45f,350.00,209.33
0434a68809885ea1,254.80,350.00
c0be83e56601e7ce,208.84,178.01
34ab72077963ee74,248.75,171.22
6f62436ae042009b,176.70,154.86
085d6ea4d12917a2,290.35,350.00
c9d2abc25651a1a7,350.00,290.43
6afdefcb6728467e,350.00,238.39
6314e63003745e80,285.71,203.74
b7419e18d9461277,162.16,230.69
09da511e611b4eb1,253.00,293.16
5e80048e6a5681b8,290.35,350.00
40dbe22895f98978,149.69,278.03
9cd5a54a285653c2,286.98,189.89
fb1fe28a5d97db51,283.12,202.65
2e2b70a5294012bd,350.00,254.65
37cb7ce0f0b70640,283.54,350.00
3b63f4fb24694d74,281.29,350.00
a6a4be467d12ea5c,193.02,279.02
970c2beda72908c6,195.06,282.05
ea64af61ed03453f,143.17,274.16
586635087cdfbbcc,350.00,291.27
e4628e64a2ef7100,246.88,290.45
7ea81958dfb80d70,196.23,350.00
c3b2a72cc291db4e,228.68,306.44
f20bd0b549e1a97d,256.44,244.27
57f4aac17f067c11,227.53,218.55
7c76b3c48a5583df,287.01,198.46
bce4808806f88c99,161.73,145.18
1f299942446461e9,186.30,350.00
8762b96aaefb03af,281.38,251.40
f67fa758cc79cd65,168.65,301.42
17ba2950b7f6d64a,350.00,234.06
0fe4e788b16c03cd,179.09,350.00
cfa9bc77c803956e,232.45,249.55
0ff019f37961b954,235.75,232.75
e1bc211f43378ee7,180.27,222.05
87f39e0d82349c3b,287.15,285.34
ef83377d584ec055,249.03,350.00
7468f870b08aaccc,287.13,183.25
1c0f5152b0bbef05,186.07,228.27
3c2ac653409cf5f2,219.08,152.36
e7833d5728f3ebef,208.45,350.00
efc865fce64b5848,137.38,256.58
38dbb6f2e1456acd,208.02,150.56
5550e3d9ff8b965c,350.00,350.00
fe60fd0ee67902dc,350.00,290.51
b82abffcf66db401,350.00,278.36
1228c4297882e8ba,215.04,283.26
56812137775844c8,242.89,288.27
92de601366ced6dc,194.76,350.00
18273af728dda0c8,219.58,196.04
188537d906b30a7c,206.12,193.63
5637c7b3e4131941,246.70,350.00
0e30b22cd0987640,248.54,350.00
37ae54e5a84fd646,290.34,290.34
3c27780140809908,350.00,350.00
255da7afa89eb0e5,350.00,350.00
2d1c4027b8e50a0d,172.04,167.90
b5c4fbd6e1d94594,171.65,350.00
1531cb3152157ada,239.75,200.16
90b36806779330b9,350.00,350.00
fb93d1cafcc6b455,350.00,350.00
38d8b19a1ef5942a,350.00,175.99
2a2f50039ac636d0,227.22,236.44
0f6dd5d9a96ceb9d,195.55,201.86
9e62f31318d21a32,248.02,290.37
e7183e758f6b8bda,176.48,291.56
20a6710c50698166,216.15,216.39
56ba0c15cf501669,290.67,135.22
826b03504b9bad4e,200.03,243.85
b0ed7f6450ad33c5,185.53,224.86
ffe4379d6bd1e82b,350.00,350.00
e06ff3d3f1c0ab69,199.48,145.33
e66eebeff23ceb1e,290.39,263.00
754882d95491d287,240.72,350.00
9d9c2c8802d21887,239.41,207.63
68b141785f76575b,252.91,256.84
497a87188392e057,182.00,290.40
b0bb09e4ca8343af,177.65,238.81
9a0865000a3d642e,158.68,208.91
9e6f956caa7b549b,139.45,156.13
0dade757305afebd,224.91,350.00
62ed2b178310306e,278.84,290.77
6a0c5b9079a4128e,210.99,203.44
558ef0822c8fa5b9,219.90,134.33
795c682c30d66c19,165.92,193.78
63ff2ed92c800ef8,174.03,182.86
a85a0831580696ff,214.24,121.52
334cd8572d9842cb,290.40,178.86
863319fd2e711ffc,350.00,230.65
363efd241750c23d,350.00,350.00
5a9657d4faeea2c5,350.00,290.47
af59e32a5b3f6065,350.00,166.12
4e75ed154de637e2,290.43,350.00
9f5f9173666ce1b7,350.00,350.00
808245ba66df5f1c,236.46,236.95
00a5e033391bf8df,168.96,221.79
9fb822537c12d726,129.36,236.46
4f5ce22f8384d151,350.00,154.34
be0507682d0ce713,206.69,350.00
b5854feb57f40bb4,186.05,350.00
ed503d1c8963d894,350.00,193.24
400aa8a24e1d8997,155.76,350.00
ffe629a5232a878b,223.88,117.28
c83cba9573cca196,138.19,149.30
10976fbb37d41c43,290.40,168.98
5ac9cf4ffc15ccca,350.00,350.00
3cdcaa0a59dfb8ea,350.00,350.00
e5b2782426c8109c,350.00,290.40
180128adae7897db,294.30,350.00
ac6fd4c78f0e3198,350.00,272.20
6e7eb1720bec2bca,261.40,256.38
fdb4ea9783c4452a,216.72,194.70
6cd107e2f5886b25,131.06,131.98
823d7037552a8907,192.54,350.00
61a211b4a7f942cd,267.04,350.00
906d6f62fb7f9b19,127.08,172.68
7d2d327fd7580364,213.34,290.88
b35adb9d047f5cd8,161.12,174.69
d1d33be012417f75,256.54,113.91
9f108233c7c787d9,149.88,285.03
2cfde31b41b2220d,157.50,350.00
5bdaa71a5daebcb5,183.98,350.00
fab7e4790b11de3c,290.38,235.74
1bc4996fa543a91a,350.00,283.47
bee02eaf332eb7f1,350.00,286.51
476548ca3d8cf0ee,177.94,286.62
4076a87092da5bfa,162.35,153.50
829146a45b3b236b,350.00,170.66
9cd343b9d5d87528,151.76,124.42
1d9d91f78334129d,256.64,350.00
ba5e8c30d41559fd,350.00,350.00
3b8bfe14b0c297b2,350.00,238.18
0374646197b8e0fa,290.42,196.48
0f23c5569204a69b,194.78,214.58
268f0fcc45e1a6fe,181.21,212.16
eecbc6c850e62d97,244.40,240.31
2dbd0bc3e61ca00b,140.26,125.25
5cbd93c68225a845,350.00,290.94
a40e421630b67e5c,289.25,350.00
41222c4fab03d6f8,173.87,350.00
7014356795515aea,150.48,160.79
5261874c58322b46,143.77,271.93
dffef4343e822399,167.78,230.53
1201d192092baacf,298.94,232.94
66eaf9f4a2cd67d8,145.40,193.79
c9c5b2507c6be9e3,166.82,243.69
6996eb7755709945,253.18,238.54
5db23cc876db1619,216.44,350.00
c74eef9b337602c6,350.00,272.99
6e2254b4fd39ce40,350.00,143.81
ebd51f898209c4c8,132.41,269.52
719f21fdb310fcfb,350.00,350.00
977e56ada4acc596,120.25,143.40
dc9b52352dca15ef,350.00,294.01
0d15b14d1215c853,236.77,224.99
929fb67b49eaa405,142.82,182.18
1a471a1bff47a960,256.15,225.92
6f21a27075f0695c,138.14,256.32
b76a722dd429612e,269.06,254.35
9422b3caf780a995,120.01,350.00
e8196de20c4a969a,214.50,350.00
45a52e065b73ecba,223.99,200.30
e30780438191654f,244.72,350.00
48189cad0c11ff63,244.66,350.00
c91ef06766009965,350.00,285.57
7cfc8649d07b704c,137.84,282.97
dae856cb00cf5163,178.17,207.39
987b6b4f7825e40e,350.00,151.34
4fb2c181e8fd5910,118.78,134.50
17affee2c796c225,350.00,350.00
74f757bacb86a71c,350.00,350.00
f434775e97920d95,350.00,350.00
61733e5f00f4e194,350.00,350.00
a3b268798d3ab216,350.00,350.00
ddb950831580a5fe,350.00,350.00
d172d88fbeb8c6a8,350.00,350.00
4705a4db0bf1edcd,350.00,350.00
c50a3025d1519fc8,249.05,139.38
5e1b0e52d2bb1b5c,291.61,350.00
026e64f70e319e00,290.44,304.51
5d72fa4562b13f7b,207.56,290.44
f4e6f8223d0816fe,213.66,350.00
36dbc3cee586e53d,140.32,282.98
b1b66441acc5e8df,132.67,220.01
cb8e91f8b9f0e24f,186.25,278.75
2ae8623ef4156105,130.05,115.51
07886c772e37d5de,200.95,296.08
e5261884b0a0ed39,222.07,350.00
ca3230227ee700b7,290.35,200.11
fb252c420e9830cd,292.62,350.00
ea8b1a909155b0c2,290.35,350.00
98cc8f5dd64895c4,208.71,132.69
d80b07269dd36aad,198.76,165.65
a507bfa374885a25,164.20,256.10
7acca0910edd7023,283.12,350.00
c2c000a37a89b82f,290.38,290.38
b2f604f2332cd8af,290.38,275.75
44e4a1caae180261,290.38,213.45
bf1525f9761a116e,237.62,262.71
994739f676c2105f,290.38,290.38
389b7ca84b333c4c,290.38,263.03
fd2f0f36b1eb5f83,350.00,190.91
42957e04417af1d8,274.19,350.00
ee69302c232e0909,283.71,228.49
adc0b9c6afe76c23,134.98,254.93
beaa6ae419b8c8c6,199.27,191.64
d250a9d1c602e266,290.39,350.00
093ef5ab2081cf65,111.31,257.30
8a380b11aaf82c49,184.50,219.46
5a3fcd3d3a1e1c38,123.66,175.03
c25a97523bf56e49,350.00,288.33
5f2240d94375f907,350.00,350.00
926091425f88d038,350.00,350.00
f5cb6cbb09ee8a16,249.74,238.95
6ddabf12abd6fe25,350.00,350.00
0731a4519d64df6d,259.02,306.30
5521b9bb8f220993,205.88,128.17
2aa175f3ebffcdf2,350.00,350.00
fea1931b041cc5ff,350.00,350.00
06a75406d3dd5cfd,237.65,214.14
f15be91b30b11e0c,240.29,182.88
75926dd5b984aa06,177.33,350.00
e917559aedf85a98,254.67,183.91
f8a90f8a7beaa330,350.00,350.00
1c45d0feab67364f,158.47,262.40
39c4f4a1aff68189,350.00,350.00
f846fd001397db45,350.00,350.00
e050c299ffa1f2d3,350.00,350.00
19646a0c8baee966,260.59,350.00
e364cd5772cfd27c,350.00,350.00
c22f4a7540cffdda,350.00,350.00
2eb9b36c09c00d69,256.44,189.22
57b5e8bda9447b77,350.00,350.00
678af75cb4c155a9,290.34,350.00
84c510ab7e764598,252.91,350.00
5f9d5ebe5ec28753,166.95,238.89
388df822e50b04f8,179.23,194.28
8062a7852a8b1560,127.48,206.88
670db5afcb26df7c,350.00,295.85
2dfda46cbc17bc99,188.46,211.09
d0fcabb07a3e9500,350.00,260.63
52125c3e41a1bd1e,290.37,291.01
392089df68b1a721,287.46,283.80
e55b69543aa74907,282.44,290.36
0582b78dc635301b,231.10,207.50
fbd75b08f377d149,290.36,224.53
bd5afec6940c5d32,252.95,245.16
537012aa6fb20f00,175.85,350.00
a63ed5d48f00ad18,290.37,350.00
d49bc8e4e5613614,218.15,290.38
bb5ceaf835c0bb18,219.20,350.00
14850f48b2bede47,350.00,171.26
d9499d55f9f53112,188.99,174.81
357f438c15e1326f,169.47,226.90
44592a74cda71275,290.38,159.92
235e4c69d5d945e8,290.38,232.39
0e94e0a8c2130cea,121.32,109.69
82a5e1bba6b843be,350.00,350.00
7ca8095148c23b71,350.00,350.00
7ba640f8b70bc685,350.00,256.53
0cc225bf45697271,350.00,157.44
00dc5354794818a7,293.41,221.20
817c3b44517daa91,164.44,151.25
f989a1acbda0e16a,258.59,350.00
002cb1bb411c5f60,176.23,182.95
fa193b3d07c0ed9b,277.44,205.40
622cada31f247f9a,217.13,287.00
fb1f1b0c9ef454dc,350.00,290.40
eeb77732d7c3389a,290.41,240.88
3adae93bbf06287a,290.40,277.74
44a79a250fdd61cd,203.89,350.00
d066287b31c871a6,257.46,290.40
99eb03e6c7dc4be2,290.40,227.73
d39ce3ecd3fbdadf,219.84,256.41
12231c1ca2e09011,256.45,350.00
3fe41b95899316d5,290.34,284.91
fdafa20b7ec8cb44,227.23,350.00
0a083ab881ef3a5f,178.37,290.39
fb972da69450127f,201.39,244.37
f747fbe721cdb042,123.52,350.00
5f9b063630e52778,114.28,218.08
fef433a7cb7a2029,175.08,162.42
57a7767c4255e034,169.23,150.29
25acf5f94667e79d,263.14,350.00
3df422ea531e16c6,284.01,290.44
857365273ed2f353,234.28,350.00
d1b8ff290d09013b,156.65,238.23
c409c3a5eda764ba,235.56,173.07
c66bd50ed1e75d2b,245.07,289.27
d490c78bd5d0145a,217.54,286.46
356fdab9bc109093,350.00,262.56
ed3ae3852fe549d4,124.02,161.81
43e5f75fe9cedafd,350.00,350.00
20e28ee267d9b5dc,350.00,350.00
5bfba809430d178b,283.61,350.00
387bdcc2ca8709c1,350.00,350.00
4df8efe64e83f74e,350.00,350.00
2168b2c814faada6,220.25,350.00
2b95f2982b19518a,350.00,350.00
b48a211abe177846,350.00,350.00
7cdb56b2f207a41b,233.59,288.61
919c86cce0eca615,350.00,285.81
282d8651ca34b7f6,290.38,350.00
16de071ad45cd350,250.44,230.14
b0ba95fd1503411f,265.14,248.03
4f1a8eade87e928e,205.20,194.87
e7225dcc3349ae57,278.19,350.00
e22b2f50d7eeed3a,241.18,198.00
ccdd6c7577927a8c,350.00,192.42
c4f05ff2781530f4,243.34,254.68
979318b05efd1ea4,203.37,350.00
e3b5f66198161226,350.00,285.65
bc7a81a81840e4be,189.80,350.00
01733579ef03be00,188.60,350.00
4000e1f32058796a,244.86,152.20
9ce2d0b880e88934,153.37,281.43
ee6000812e2b9f9d,111.16,133.83
000da3152b7b5ab1,219.11,226.87
3c3533ba486a2006,157.25,142.18
0c96a5a8ab740ca8,350.00,350.00
fa2be4b37de934bf,350.00,290.46
2f4baf8f94c400cd,350.00,350.00
8e51f8648840eb38,161.74,246.86
1c9798288310201c,350.00,350.00
9450f80c9fab4da1,188.23,214.08
d14abced904806ca,280.35,350.00
8304a0ea004e73f5,182.92,281.90
