event_date,event,fight_id,fighter,rule,live,units,rd_self,rd_opp,placed,stake_u,pnl_placed,open_line,placeable_line,clean_close,clv_pts,result,method,round,pnl,pnl_at_open
2012-09-22,UFC 152: Jones vs Belfort,307b12b9f08a4cbf,Charles Oliveira,FLIP,0,1,163.4,203.84,0,0.0,-0.0,220,,-235,38.72,LOSS,KO/TKO,1,-1.0,-1.0
2012-09-29,UFC on FUEL TV: Struve vs Miocic,e34d313fbe1c28f1,Brad Tavares,GAP,0,1,181.19,350.0,0,0.0,0.0,-175,,-165,0.96,WIN,S-DEC,3,0.5714,0.5714
2012-09-29,UFC on FUEL TV: Struve vs Miocic,26f876a7fb1020e1,Kyle Kingsbury,FLIP,0,1,158.03,350.0,1,0.8,-0.8,100,,220,-15.72,LOSS,KO/TKO,2,-1.0,-1.0
2012-10-05,UFC on FX: Browne vs Bigfoot,8802182074bf4a3a,Jake Ellenberger,GAP,0,1,141.39,255.04,1,0.92,0.2629,-350,,-320,1.09,WIN,U-DEC,3,0.2857,0.2857
2012-10-13,UFC 153: Silva vs Bonnar,297a3fe0edd6f1c5,Gleison Tibau,GAP,0,1,104.63,290.38,1,1.0,0.625,-160,,-130,-2.66,WIN,U-DEC,3,0.625,0.625
2012-11-10,UFC Macao: Franklin vs Le,1a113ac3255f3ac3,Rich Franklin,GAP,0,1,111.82,226.66,1,1.0,-1.0,-300,,-429,8.63,LOSS,KO/TKO,1,-1.0,-1.0
2012-11-17,UFC 154: St-Pierre vs Condit,1f7c1c741b06a3ed,Cyrille Diabate,GAP,0,1,181.31,299.75,0,0.0,0.0,-120,,-130,4.86,WIN,SUB,1,0.8333,0.8333
2012-12-08,UFC on FOX: Henderson vs Diaz,b57345c34f6d2ab3,Ramsey Nijem,GAP,0,1,223.46,290.42,0,0.0,0.0,-175,,-230,7.35,WIN,U-DEC,3,0.5714,0.5714
2012-12-08,UFC on FOX: Henderson vs Diaz,405cbbcaa79db24b,Mike Swick,GAP,0,1,123.5,122.45,1,1.0,-1.0,-140,,-147,3.73,LOSS,KO/TKO,2,-1.0,-1.0
2012-12-08,UFC on FOX: Henderson vs Diaz,bc72dac46f0383f1,Nate Diaz,FLIP,0,1,108.64,159.27,1,1.0,-1.0,130,,180,-6.39,LOSS,U-DEC,5,-1.0,-1.0
2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,8935fc5943a78c20,John Cofer,FLIP,0,1,290.42,350.0,0,0.0,-0.0,140,,-110,10.74,LOSS,SUB,3,-1.0,-1.0
2012-12-15,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,5bcc7204a43cf34e,Matt Mitrione,FLIP,0,1,171.24,151.5,1,0.71,-0.71,175,,168,1.98,LOSS,KO/TKO,1,-1.0,-1.0
2013-01-19,UFC on FX: Belfort vs Bisping,4d231d5d5f815085,CB Dollaway,GAP,0,1,142.09,350.0,1,0.91,0.5056,-180,,130,-18.32,WIN,S-DEC,3,0.5556,0.5556
2013-02-16,UFC on FUEL TV: Barao vs McDonald,16ba92318ff66d4a,Phil Harris,FLIP,0,1,281.36,290.42,0,0.0,0.0,180,,180,1.72,WIN,U-DEC,3,1.8,1.8
2013-02-16,UFC on FUEL TV: Barao vs McDonald,f509d5ffcc3f46fe,Motonobu Tezuka,FLIP,0,1,267.29,211.03,0,0.0,-0.0,140,,121,4.74,LOSS,U-DEC,3,-1.0,-1.0
2013-02-16,UFC on FUEL TV: Barao vs McDonald,d607908be8b19273,Andy Ogle,FLIP,0,1,290.39,215.87,0,0.0,0.0,170,,138,6.36,WIN,U-DEC,3,1.7,1.7
2013-02-16,UFC on FUEL TV: Barao vs McDonald,493b7a8e3253b133,Dustin Poirier,GAP,0,1,173.36,182.14,0,0.0,-0.0,-145,,-112,-3.69,LOSS,U-DEC,3,-1.0,-1.0
2013-03-02,UFC on FUEL TV: Silva vs. Stann,e830cb1df07f3466,Yushin Okami,FLIP,0,1,113.37,231.91,1,1.0,1.7,170,,180,0.11,WIN,S-DEC,3,1.7,1.7
2013-03-02,UFC on FUEL TV: Silva vs. Stann,c996b2ff10a915b1,Stefan Struve,GAP,0,1,128.52,192.78,1,1.0,-1.0,-180,,-207,5.02,LOSS,KO/TKO,3,-1.0,-1.0
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,438f5404c43303b8,Tom Lawlor,GAP,0,1,142.9,225.31,1,0.91,0.6276,-145,,-137,1.5,WIN,SUB,2,0.6897,0.6897
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,bc0779b232828e67,Michael Johnson,GAP,0,1,158.14,260.66,1,0.8,-0.8,-195,,-300,10.21,LOSS,SUB,3,-1.0,-1.0
2013-04-06,UFC on FUEL TV: Mousasi vs Latifi,4e69c86d09c9f782,Mike Easton,FLIP,0,1,196.73,189.57,0,0.0,-0.0,140,,138,1.73,LOSS,S-DEC,3,-1.0,-1.0
2013-04-20,UFC on FOX: Henderson vs Melendez,c8a48abe3263f796,Clifford Starks,GAP,0,1,233.24,350.0,0,0.0,-0.0,-125,,158,-12.95,LOSS,KO/TKO,1,-1.0,-1.0
2013-04-20,UFC on FOX: Henderson vs Melendez,56ad1de1924984ad,Anthony Njokuani,GAP,0,1,166.95,350.0,0,0.0,0.0,-210,,-180,-0.77,WIN,KO/TKO,2,0.4762,0.4762
2013-04-20,UFC on FOX: Henderson vs Melendez,786033c27fdaa020,Tim Means,FLIP,0,1,247.7,350.0,0,0.0,-0.0,125,,100,6.18,LOSS,U-DEC,3,-1.0,-1.0
2013-04-20,UFC on FOX: Henderson vs Melendez,3566c8e9d3a9caa8,Francis Carmont,GAP,0,1,187.36,350.0,0,0.0,0.0,-125,,-115,0.74,WIN,U-DEC,3,0.8,0.8
2013-04-20,UFC on FOX: Henderson vs Melendez,56ce29bdb1fe9abf,Nate Diaz,GAP,0,1,105.59,212.01,1,1.0,-1.0,-160,,-145,0.13,LOSS,KO/TKO,2,-1.0,-1.0
2013-04-20,UFC on FOX: Henderson vs Melendez,4dd561df1ca58ab8,Frank Mir,FLIP,0,1,103.03,350.0,1,1.0,-1.0,250,,325,-3.9,LOSS,U-DEC,3,-1.0,-1.0
2013-04-27,UFC 159: Jones vs Sonnen,6d6a1834e0d18f0c,Steven Siler,FLIP,0,1,191.51,350.0,0,0.0,0.0,100,,-117,6.1,WIN,U-DEC,3,1.0,1.0
2013-04-27,UFC 159: Jones vs Sonnen,44ad16cd4e6c93d7,Cody McKenzie,FLIP,0,1,177.44,157.69,1,0.66,0.792,120,,187,-8.52,WIN,U-DEC,3,1.2,1.2
2013-04-27,UFC 159: Jones vs Sonnen,fb30b2752d3dc1eb,Sheila Gaff,FLIP,0,1,350.0,350.0,0,0.0,-0.0,400,,453,-1.4,LOSS,KO/TKO,1,-1.0,-1.0
2013-04-27,UFC 159: Jones vs Sonnen,59ad5b88804afbf5,Rustam Khabilov,GAP,0,1,290.39,350.0,0,0.0,0.0,-310,,-192,-7.17,WIN,KO/TKO,1,0.3226,0.3226
