slug,event_title,event_date,mu,fighter1,fighter2,f1_open,f1_close,f2_open,f2_close,f1_ticks,f2_ticks,t_open,t_close
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,27551,Damon Jackson,Pat Sabatini,2.9,2.67,1.44444,1.5,69,69,1662556456000,1663454300000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,28460,Louis Cosce,Trevin Giles,2.7,2.8,1.5,1.45455,42,42,1662876008000,1663452733000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,27752,Giga Chikadze,Sodiq Yusuff,1.54054,1.52632,2.5,2.55,2,2,1661650824000,1662483384000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,27624,Diana Belbirr,Loma Lookboonmee,2.55,3.0,1.52632,1.4,4,4,1661651064000,1662483503000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,28446,Denise Gomes,Loma Lookboonmee,3.35,2.77,1.36364,1.46512,67,67,1662556456000,1663451208000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,28458,Daniel Zellhuber,Trey Ogden,1.41667,1.25381,3.0,4.08,112,112,1662876007000,1663449498000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,28048,Gillian Robertson,Mariya Agapova,2.1,1.66667,1.76923,2.25,102,102,1661427853000,1663448171000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,28160,Javid Basharat,Tony Gravely,1.90909,1.58824,1.90909,2.4,86,86,1662556456000,1663446209000
ufc-fight-night-211-2569,UFC Fight Night 211 for September 17 | Best Fight Odds,2022-09-17,28459,Cameron Vancamp,Nikolas Motta,2.95,2.3,1.43478,1.64103,88,88,1662876007000,1663445204000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28452,Alexa Grasso,Viviane Araujo,1.58824,1.44248,2.45,2.83,95,95,1663795693000,1665882273000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,27947,Cub Swanson,Jonathan Martinez,2.75,2.77,1.4878,1.46296,86,86,1663795811000,1665880448000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28553,Durko Todorovir,Jordan Wright,1.64516,1.45045,2.35,2.79,64,64,1663795812000,1665878648000
ufc-fight-night-212-2579,UFC Fight Night 212 for October 15 | Best Fight Odds,2022-10-15,28279,Raphael Assuncao,Victor Henry,2.95,4.22,1.43478,1.23923,69,69,1663795812000,1665876867000
